Species,name
RCH,
SGL,
CUL,Slender conger
DKV,Slender-tail conger
CXB,
ACL,
ACS,Spotted garden-eel
RYB,
CBV,
ACT,Margintail conger
GFG,Guinean conger
COX,"Conger eels, etc. nei"
OOZ,Spotted snake eel
OQK,Ornate Snake Eel
OOR,Rufus snake-eel
OOH,Punctuated snake-eel
OOG,Shrimp eel
NZU,Bluntnose snake-eel
OZQ,Yellow snake-eel
OYK,
OOS,Serpent eel
OOM,
OXR,
OSM,Short-tailed viper-eel
OSC,Johnston snake-eel
OSL,
OQP,
OPO,Short-maned sand-eel
OPA,Sailfin eel
OPR,Rice-paddy eel
OPI,Longfin snake-eel
OJW,
QQM,Hoeven's snake eel
OND,
MHY,
MZA,Spoon-nose eel
MZB,African spoon-nose eel
MHU,Speckled worm-eel
MXZ,Leaden worm eel
OMF,Indo-Pacific slender worm-eel
OVY,Maimed snake eel
MOQ,
OLL,Acned snake-eel
ALW,Slender worm-eel
AOZ,Saddled snake-eel
AOQ,
KZO,Oriental worm-eel
AOX,Sharpnose sand-eel
AOF,Mustachioed snake-eel
AOH,
AOT,Finny snake eel
AOG,Horsehair eel
AOS,
AOR,Ordinary eel
EKF,
AOV,
AOU,Stippled spoon-nose eel
EVF,
AOM,Painted eel
EVW,
AOD,
NVD,
NVF,
NVG,
OPS,
AOJ,
AOL,Slantlip eel
ALY,
MHK,
MXU,Leopard eel
AOO,
NQW,Shorttail snake eel
NQZ,
AOY,Crocodile snake eel
NLZ,
AOK,
NIC,
NIF,
AOP,Stripe eel
AOC,Fangtooth snake-eel
AOE,Key worm eel
AOA,Freshwater snake-eel
AOB,Sooty sand-eel
NIH,
AOI,Inhaca fringelip
OPX,Flappy snake-eel
OWX,Snake eels nei
SDA,Shortbelly eel
UAU,Batnose eel
HIB,Deep-water arrowtooth eel
SIB,Muddy arrowtooth eel
SMY,
ASQ,Snubnosed eel
SSK,Kaup's arrowtooth eel
UAV,Grey cutthroat eel
SDC,Basketwork eel
SVY,Cutthroat eels nei
ANV,Avocet snipe eel
ANL,
NNE,
ANM,Slender snipe eel
ANU,
VFX,
ACP,Flatnose xenocongrid eel
ACD,Mottled false moray
AZB,
ACK,False moray
ACO,
DMT,
JWX,
ASB,Bean's sawtooth eel
AWK,Sawtooth eels nei
ASF,Black serrivomerid eel
XAX,"Eels, morays, congers nei"
NHV,
JBC,
JBD,Hawaiian halosaurid fish
NHH,Abyssal halosaur
NHU,
NHP,Australian halosaur
JGX,Halosaurs nei
NNL,
NNN,Spiny eel
NSD,Spiny-back eel
NNP,
JDX,Deep-sea spiny eels nei
GAR,Garfish
BES,
PTW,Cape needlefish
PTA,Keeltail needlefish
PFN,
BAF,Flat needlefish
SZW,Senegal needlefish
SGY,Spottail needlefish
SXY,Californian needlefish
SGR,Timucu
NFA,Atlantic needlefish
SYQ,Banded needlefish
AND,Agujon needlefish
BTS,Hound needlefish
TBH,Red Sea houndfish
NED,Needlefishes nei
XTC,Freshwater garfish
BEN,"Needlefishes, etc. nei"
SAU,Atlantic saury
NYS,Dwarf saury
SAP,Pacific saury
SAX,Sauries nei
HCE,Hardhead halfbeak
HDY,
HHA,Tropical halfbeak
HHG,Choelo halfbeak
HYI,
HHR,Slender halfbeak
HHY,Skipper halfbeak
HHU,Common halfbeak
HBR,African halfbeak
HAJ,Japanese halfbeak
HVR,California halfbeak
HVI,Asian pencil halfbeak
GZQ,Congaturi halfbeak
GZP,Quoy's garfish
GZO,Sind halfbeak
GZN,Simpletooth halfbeak
HHF,Black-barred halfbeak
BAL,Ballyhoo halfbeak
HHM,Yellowtip halfbeak
BHA,Balao halfbeak
GZT,Jumping halfbeak
HAX,
HHC,
ERV,Ribbon halfbeak
EXQ,Flying halfbeak
HMR,
HNV,
HRS,
HRG,Long billed halfbeak
HTK,
HZD,
JKX,Halfbeaks nei
EXV,Tropical two-wing flyingfish
ECL,
JFL,Japanese flyingfish
XCS,Short-nosed flyingfish
ECP,Yellowing flyingfish
YPX,
FOA,Sharpchin flyingfish
PBN,Shortfin flyingfish
QBA,Bluntnose flyingfish
PXB,Sailfin flyingfish
KSW,African sailfin flyingfish
OXV,Halfbeak
OXG,Atlantic smallwing flyingfish
FFV,Fourwing flyingfish
HDR,Black wing flyingfish
FFZ,Bony flyingfish
ECF,Spotfin flyingfish
ECE,
ECG,Blacksail flyingfish
ECS,Manyspotted flyingfish
ECJ,Sutton's flyingfish
EFZ,Margined flyingfish
EVZ,Atlantic flyingfish
EWB,Guinean flyingfish
EWD,Bennettís flyingfish
FLY,Flyingfishes nei
AKY,Duckbilled buntingi
HHS,Malabar ricefish
OYJ,Javanese ricefish
XEO,Eggcarrying buntingi
MOY,Smalleye moray cod
MVC,Marbled moray cod
MWS,Smallhead moray cod
MWO,Patagonian moray cod
QMZ,
MRL,Moray cods nei
AEU,Ahuru
AIM,Dwarf codling
EEH,Tasmanian codling
GDI,Beardless codling
GDL,Gadella
MHJ,Slender codling
LMG,Longfin codling
LML,Guinean codling
KZT,Codling
LTP,Beardie
MLV,Bighead mora
MMG,Tadpole cod
RIB,Common mora
PSW,Black codling
PSJ,Japanese codling
JPS,Metallic codling
JPA,Brown codling
JKO,
PQO,
NEC,Red codling
PBR,Southern bastard codling
PBV,Northern bastard codling
RYT,
SVL,
TPG,Grenadier cod
LPJ,Mediterranean codling
LPS,North Atlantic codling
LPH,
LPE,Patagonian codling
LMF,Small-headed cod
LEV,Lepidion codlings nei
ANT,Blue antimora
SAO,Tadpole codling
MOR,Moras nei
UNC,Unicorn cod
BMA,Antenna codlet
BVQ,Smallscale codlet
UGS,Big-eye unicorn-cod
VKX,
USK,Tusk(=Cusk)
COD,Atlantic cod
PCO,Pacific cod
GRC,Greenland cod
CDZ,Northern cods nei
FBU,Burbot
LIN,Ling
BLI,Blue ling
SLI,Spanish ling
LNZ,Lings nei
GFB,Greater forkbeard
FOR,Forkbeard
GPE,Longfin hake
FOX,Forkbeards nei
HKU,Brazilian codling
HKR,Red hake
HKW,White hake
URE,Carolina hake
URF,Southern codling
URG,Spotted codling
URI,Gulf hake
URZ,Urophycis nei
HAD,Haddock
RCR,Tadpole fish
COW,Navaga(=Wachna cod)
SAF,Saffron cod
MGX,Pacific tomcod
TOM,Atlantic tomcod
POK,Saithe(=Pollock)
POL,Pollack
ALK,Alaska pollock(=Walleye poll.)
TEF,Norwegian pollock
POC,Polar cod
ATG,Artic cod
ATV,East Siberian cod
GDG,Silvery pout
GDE,Threadfin rockling
GDT,Arctic rockling
GGY,Mediterranean bigeye rockling
GGR,Bigeye rockling
GGD,Shore rockling
GGU,Three-bearded rockling
ROL,Rocklings nei
LCM,Fivebeard rockling
GCS,Northern rockling
GCQ,
NOP,Norway pout
POD,Poor cod
BIB,Pouting(=Bib)
XOD,Trisopterus nei
WHB,Blue whiting(=Poutassou)
POS,Southern blue whiting
WHG,Whiting
ENC,Fourbeard rockling
LYB,
KXP,
LYG,
HKE,European hake
HKM,Senegalese hake
HKN,Southern hake
HKS,Silver hake
PHA,South Pacific hake
HKP,Argentine hake
NHA,North Pacific hake
HKB,Benguela hake
HKO,Deep-water Cape hake
HOF,Offshore silver hake
MRG,Panama hake
HKK,Shallow-water Cape hake
HVP,Patagonian hake
HKX,Hakes nei
HKC,Cape hakes
SIG,Luminous hake
GRM,Patagonian grenadier
GRN,Blue grenadier
MRC,Cape grenadier
HKZ,Merluccid hakes nei
RHG,Roughhead grenadier
WGR,Whitson's grenadier
MCC,Ridge scaled rattail
MCH,Bigeye grenadier
QMC,Caml grenadier
GRV,Grenadiers nei
MRI,
HYS,Glasshead grenadier
RNG,Roundnose grenadier
CNK,G¸nther's grenadier
CPJ,
MRT,
CKE,Pacific grenadier
CKN,Loosescale grenadier
CKK,Humboldt grenadier
CKH,Abyssal grenadier
CKF,Carmine grenadier
CKJ,Popeye grenadier
CDR,Trident grenadier
CLY,Longfin grenadier
CKG,Amami grenadier
CPX,Mexican grenadier
MCM,Abyssal rattail
MHN,Largenose grenadier
MCR,Serrulate whiptail
MCS,Longrayed whiptail
MRZ,Thickbeard grenadier
CZF,
CZL,
CVY,"Grenadiers, whiptails nei"
CQA,Surgeon grenadier
CQC,Aconcagua grenadier
CQN,Duckbill grenadier
CQR,Silver whiptail
CQG,Eyespot grenadier
CQS,Rough-head whiptail
CQU,Javelin
CQB,Two-barred whiptail
CQE,Shovelnose grenadier
CQH,Clearsnout grenadier
CQI,Blackfin grenadier
CQO,Chilean grenadier
CQL,Hollowsnout grenadier
CQD,Filesnout grenadier
CQF,Banded whiptail
CQM,Formosa grenadier
CQX,Six-band grenadier
CQT,Notable whiptail
CQJ,Japanese grenadier
MCK,Campbell whiptail
CQK,Kamohara grenadier
CQQ,Karrer's whiptail
MCE,Kermadec rattail
CQY,Mugura grenadier
CQV,Spearsnouted grenadier
CQP,Longhead grenadier
CQW,Longarm grenadier
CEH,Marini's grenadier
MCT,Mahia whiptail
CKU,Spearnose grenadier
CKO,Swordsnout grenadier
CKV,Hawknose grenadier
CKR,Spiny grenadier
CKD,Unicorn grenadier
CKS,Shoulderspot grenadier
CKX,Firebelly grenadier
QCL,
QDS,
CWX,
AIP,Giant grenadier
AFG,Fragile grenadier
TYH,Armourhead grenadier
TSU,Roughsnout grenadier
BGO,Bullseye grenadier
BGN,Vaillant's grenadier
BFZ,
SUQ,
CKC,Globosehead rattail
CKP,
MNI,Dogtooth grenadier
ODU,Roundhead grenadier
TNS,Bristly grenadier
SGG,
NZB,Marlin-spike grenadier
NZA,Common Atlantic grenadier
NZC,
NZO,Peruvian grenadier
NZD,Twelve-rayed grenadier
NZL,Broadsnout grenadier
NZI,Smooth grenadier
NZR,Parrot grenadier
NZM,Smalltooth grenadier
NZT,Spectacled grenadier
NZP,Short-tail grenadier
NZS,Roughtip grenadier
NZE,California grenadier
QMX,
MLL,Softhead grenadier
MLO,Western softhead grenadier
QKX,
GAC,Doublethread grenadier
HLN,Naked snout rattail
IDA,Pineapple rattail
KUC,
KUB,Bulbous rattail
KSR,Snubnose whiptail
LDE,Thorntooth grenadier
MLE,Sturgeon grenadier
MLT,Slendertail grenadier
MSN,Bathypelagic rattail
PDK,
VEA,Arrowtooth grenadier
VEE,Hawaiian grenadier
VED,Plainfin grenadier
VEG,Sagami grenadier
VEM,Longbeard grenadier
VEI,Spinaker grenadier
VES,Peterson's grenadier
VFT,Conesnout grenadier
RTX,"Grenadiers, rattails nei"
MLG,Pelagic cod
MZY,Arrowtail
EUY,Eucla cod
GAD,Gadiformes nei
GTA,Three-spined stickleback
GUO,
GUW,Blackspotted stickleback
SKB,Sticklebacks
CUZ,Brook stickleback
GPT,Ninespine stickleback
PNY,Southern ninespine stickleback
GSS,Sea stickleback
AQD,Fourspine stickleback
AJP,
AFV,Tube-snout
IPX,Pipe fish
EYC,Short dragonfish
PGV,Longtail seamouth
KLA,Korean sandlance
AGQ,
FUC,Pacific cornetfish
FUT,Cornetfish
FIO,Bluespotted cornetfish
FIP,Red cornetfish
FIT,Flutemouth
SNS,Longspine snipefish
MFG,Slender snipefish
NPE,
NPR,Orange bellowfish
NPX,Longspine bellowfish
NLD,Crested bellowfish
IXX,
SNI,Snipefishes nei
CUW,Smooth razorfish
FHS,Grooved razor-fish
AOW,Speckled shrimpfish
CUQ,Banded yellowfish
SLY,Ghost pipefish
SXS,Harlequin ghost pipefish
SAQ,Fringed pipefish
AYE,
SGQ,Greater pipefish
STQ,Broadnosed pipefish
SHQ,
SGP,
SFR,Nilsson's pipefish
SSJ,
SUZ,
STX,
SVR,
SWY,Pipefishes nei
BHT,
HPY,Sea pony
HPH,Short snouted seahorse
HPI,Long-snouted seahorse
HWF,Tiger tail seahorse
HZI,West African seahorse
HVH,Spotted seahorse
HVK,Longnose seahorse
HVN,Thorny seahorse
HIC,Seahorses nei
NRM,
NRO,Straightnose pipefish
NRL,Worm pipefish
DBJ,
CBJ,Short-bodied pipefish
SGH,Spotted pipefish
SGJ,Alligator pipefish
SGD,
AQA,Southern little pipehorse
DJP,Shortpouch pygmy pipehorse
PXT,Common seadragon
PCQ,Leafy seadragon
BXY,Pink pipefish
BLN,Pugheaded pipefish
CGL,Gale's pipefish
CFV,Network pipefish
DBY,Messmate pipefish
CPZ,Snubnose pipefish
DDE,
DDN,
ENQ,Snake pipefish
DBW,
DCQ,Bluestripe pipefish
ENK,
FXE,
FXW,
FLG,Tiger pipefish
HBK,Brock's pipefish
HYF,Ribboned pipefish
HRU,
HCY,Blue-spotted pipefish
GZR,Beady pipefish
HSI,Macleay's crested pipefish
HYH,Prickly pipefish
IYC,
KUU,
KUS,Trawl pipefish
LTF,Brush-tailed pipefish
LNB,Deep-bodied pipefish
LSW,
MBY,Orange pipefish
MID,Shortnose pipefish
MIG,Flat-nosed pipefish
QBV,Short-tailed pipefish
MIY,Myers' pipefish
MIO,Mollison's pipefish
NAL,Elegant pipefish
NIR,Red pipefish
PXU,
PXL,Rock pipefish
PFK,
PGQ,Pug-nosed pipefish
SKU,
STK,Ring-backed pipefish
TYF,Double-ended pipefish
URN,
VCM,Mother-of-pearl pipefish
VUX,"Pipefishes, seahorses nei"
LAG,Opah
LAI,Southern opah
LAP,"Moonfish, opah, mambo"
VMM,Spinyfin velifer
VVH,Sailfin velifer
LEK,Unicorn crestfish
LLL,Crested oarfish
LOP,Unicornfish
DSM,Polka-dot ribbonfish
TRQ,Mediterranean dealfish
TPA,Dealfish
TJZ,Blackflash ribbonfish
TWK,Slender ribbonfish
TRP,Dealfishes
ZUE,Taper-tail ribbonfish
ZUC,Scalloped ribbonfish
TRX,Ribbonfishes
REL,King of herrings
AGP,Streamer fish
RGR,
RRG,Oarfishes nei
LSC,Tube-eye
ATI,
IQI,Jelly-head fish
AGA,Jellynose
AID,
AZI,Loppe's tadpole fish
JQX,Jellynose fishes nei
MEF,Festive ribbonfish
LME,Hairyfish
LMB,
LMX,
LMC,
LRE,Tapertail
UCT,Checkered pupfish
UBC,Cuban killifish
CVZ,Potosi pupfish
YCM,Desert pupfish
YCU,Bolson pupfish
YCF,Parras pupfish
YCK,Sheepshead minnow
FYC,Goldspotted killifish
JDF,Flagfish
KWA,Scaleless killifish
MPP,Catarina pupfish
OUG,
AFS,
AFD,
AFJ,Spanish toothcarp
ADU,Whitepatched splitfin
ATZ,Tuxpan splitfin
ADE,Opal allotoca
GMS,Butterfly splitfin
GAW,Bluetail goodea
GCY,White River springfish
GEE,Ash Meadows killifish
GGT,Darkedged splitfin
GOT,Blackfin goodea
KFL,
GCE,Barred splitfin
GCP,Polka-dot splitfin
GCU,Bold characodon
GCT,Rainbow characodon
HUT,
IYF,Goldbreast splitfin
ZOQ,Picotee goodeid
XTE,Redtail splitfin
XFC,Relict splitfin
XTR,Leopard splitfin
NFC,
AFR,Bulldog goodeid
AAW,Largescale foureyes
JYL,Onesided livebearer
XYD,White-eye
AFU,
GSF,Mosquitofish
GSR,
AFE,
BFJ,
UBK,
CXH,
CXK,
GIL,Creole topminnow
HXS,
PEK,
HXE,
LCU,
XFM,Montezuma swordtail
XUV,
LYN,Tanganyika killifish
LMY,Grand Cayman limia
NHC,
PFU,
PXS,
FCJ,
PFD,
PRQ,
PZA,
PRZ,
PRW,
QTA,Barred topminnow
SGW,
TUI,
PFX,
XXC,
XUU,
FCU,Dusky millions fish
CNQ,
HTA,
POZ,
PFL,Guppy
BXB,Top minnow
AFM,Starhead killi
AFB,
AFH,
ADI,Ceylon killifish
AXD,Blue panchax
ADP,Saberfin killie
CBY,Argentine pearlfish
DCY,Gabon jewelfish
EYA,
FOF,
FUY,
LLN,Barredtail pearlfish
NBY,
PXO,
PKY,
PBG,
RVY,Green rivulus
SMO,
PFH,Chiapas killifish
ADX,Diamond killifish
FUX,Stippled studfish
LUO,Pygmy killifish
LUI,Bluefin killifish
VLX,Corfu toothcarp
VHS,Valencia toothcarp
CUS,Pink cusk-eel
CUC,Red cusk-eel
CUB,Black cusk-eel
KCP,Kingklip
GVT,Rock ling
CEX,Cusk-eels nei
OPK,Dusky cusk-eel
OOA,Snake blenny
OVK,Band cusk-eel
OQZ,
OBK,
BRD,Bearded brotula
WBM,Goatsbeard brotula
OBV,
OHG,False kinglip
OLA,
LPW,Shortbeard cusk-eel
DGQ,Specklefin cusk-eel
OAG,
OAA,
OAD,
OBI,
OBG,
OBO,
OBP,
OBR,
OCL,Black brotula
OCY,Spotted cusk-eel
ODT,Australian tusk
ODI,
OEF,
OGJ,
OHE,
OHR,
OHN,
OLB,
OFZ,Legless cuskeel
OLR,
OMN,
OHV,
ONS,Black-edged cusk-eel
KZH,
KZG,
OOC,
OPW,
PXH,Velvetnose brotula
PUY,
PCF,
RYF,
SOU,Barbed brotula
OSI,
OSG,
OSU,
OXM,
OPH,"Cusk-eels, brotulas nei"
DIV,
ECI,Messmate
ENB,Pinhead pearlfish
EUW,
OXF,
PYJ,Dogtooth pearlfish
SNB,
CPW,
YXX,Pearlfishes nei
AHD,
BTP,
BDC,Freetail brotula
BDP,Pink brotula
BRY,
BII,
CXI,Longarm brotula
CXL,
TVY,
UAD,
DTC,Fleshfish
DTK,Orange brotula
DCG,
DMD,
DMS,Yellow pigmy brotula
DTJ,
DUC,
GMO,Bighead brotula
GMT,
BPS,Purple brotula
GTL,Gold brotula
LUX,Toothed Cuban cusk-eel
MXM,
OGY,Key brotula
SGE,
TLI,
AYV,
BTL,
NYK,
NYE,
PBP,
PFO,Trout-perch
PHY,Pirate perch
ABY,Ozark cavefish
AYC,Swampfish
AFA,Spring cavefish
TYP,Alabama cavefish
TYS,Southern cavefish
RRB,
BBF,Velvet whalefish
CJI,
CJK,
CJR,Pink flabby whalefish
DYG,
DYS,
GYD,
GFY,Flabby whalefish
NTV,
PYK,
RYS,
CWT,
PXJ,
PXV,Stout beardfish
QIJ,Pacific beardfish
BXD,Alfonsino
BYS,Splendid alfonsino
ALF,Alfonsinos nei
CXF,Redfish
CXZ,Bight redfish
CWB,Swallow-tail
BRX,"Alfonsinos, etc. nei"
SFN,Parin's spinyfish
DTV,
DTW,Longwing spinyfin
DUU,Silver spinyfin
QNX,Spinyfins nei
GXW,Darwin's slimehead
HPR,Mediterranean slimehead
ORY,Orange roughy
FSZ,Smallscale slimehead
ANZ,
OVE,Slender roughy
TCU,
TPT,Sandpaper fish
TSA,Little pineapple fish
TRC,Slimeheads nei
MCJ,Pineapplefish
MMJ,Pineconefish
AKA,Splitfin flashlightfish
KYA,Atlantic flashlightfish
PBZ,Flashlight fish
PVY,Gulf flashlightfish
HOO,Squirrelfish
MJA,Blackbar soldierfish
HMJ,Pinecone soldierfish
YJW,Blotcheye soldierfish
YJZ,Shoulderbar soldierfish
YJR,Blacktip soldierfish
YJY,Yellowfin soldierfish
YKB,Doubletooth soldierfish
YKC,Whitetip soldierfish
YDX,Soldierfishes nei
HNA,Clearfin squirrelfish
NHS,Sammara squirrelfish
HOH,
HWJ,Japanese soldierfish
HWK,Kai soldierfish
HPS,Shy soldier
HPO,Spinyface soldier
HSU,Silverspot squirrelfish
HVS,Sabre squirrelfish
HWD,Crown squirrelfish
AXH,Red squirrelfish
HWH,Redcoat
IFC,Violet squirrelfish
ZSZ,Tinsel squirrelfish
HCZ,Squirrelfishes nei
GBT,
MMT,Slender bigscale
MWM,
JBE,
PMC,Crested bigscale
SXM,
SBN,
SIK,
AGW,Common fangtooth
SUK,
HXG,
JOD,John dory
ZCP,Cape dory
ZMX,
JOS,Silvery John dory
ZNE,Mirror dory
ZCA,Capro dory
ZCF,
ZCC,
ZCD,Red dory
ZCN,New Zealand dory
ZCT,King dory
ZCU,Silver dory
ZEX,Dories nei
GMG,Thorny tinselfish
XED,Spotted tinselfish
XJX,Grammicolepidids nei
BOC,Boarfish
ZAC,Deepbody boarfish
ZAM,
ZAI,Indo-Pacific boarfish
BOR,Boarfishes nei
ONE,
ONV,Spiky oreo
SSO,Smooth oreo dory
OOT,Ox-eyed oreo
BOE,Black oreo
ALL,Warty dory
DMY,Guinea oreo
AHX,
ORD,Oreo dories nei
PZP,Parazen
MTY,
MZJ,
JBF,Dwarf dory
JBH,
JER,Elongate dory
GUK,
NSR,
FDK,
FCT,
ALQ,Moon silverside
ODR,Chilean silverside
BCB,Argentinian silverside
OWM,
OGW,
ATB,Big-scale sand smelt
AHH,Mediterranean sand smelt
ATP,Sand smelt
ATQ,Cape silverside
AZV,
AVX,Sand smelts nei
ANQ,Balabac Island silverside
FCW,Hardyhead silverside
AON,Topsmelt silverside
KRE,
KRG,
KRW,
AFF,Pricklenose silverside
EUI,Longfin silverside
CBB,Beach silverside
LSS,Gulf grunion
CPK,Delta silverside
MNR,Inland silverside
SSA,Atlantic silverside
CFC,Rendahl's hardyhead
BHL,
BHP,
MNY,Thickscale silverside
MLY,Blackback silverside
AEW,
MMN,Backwaters silverside
PBH,
SNF,Panatella silverside
HYO,Barnes' silverside
FQB,Samoan silverside
LSU,Brook silverside
AFC,Jack silverside
TKI,Kiener's silverside
SIL,Silversides(=Sand smelts) nei
BGY,
RCO,Katrana
YCR,
CTX,Axelrod's rainbowfish
GII,Red rainbowfish
IRW,Threadfin rainbowfish
MLF,North New Guinea rainbowfish
RCN,
KUA,Glass blue-eye
PDQ,Popondetta blue-eye
SGV,Redfinned blue-eye
PSD,Blue eyes
IFL,
NCH,
KYH,Marine sailfin silverside
PIY,
QUS,
TEB,
TGU,
DTE,Mercer's tusked silverside
KZS,Banana mullet
MUF,Flathead grey mullet
MUB,Lebranche mullet
MGU,White mullet
MGI,Parassi mullet
MMW,
MYZ,So-iuy mullet
MUO,Leaping African mullet
MGS,
MBP,
MLR,Thicklip grey mullet
IEG,Otomebora mullet
LZP,Goldspot mullet
LZT,Tade gray mullet
LZM,Largescale mullet
LZI,Greenback mullet
MAD,Yellow-eye mullet
MAJ,Fairy mullet
AJW,Mountain mullet
MCW,Sharp-nosed river mullet
GHS,Goldie river mullet
GPY,Lobed river mullet
GXE,River mullets nei
MUA,Bobo mullet
MHE,Half fringelip mullet
MGC,Thinlip grey mullet
MGA,Golden grey mullet
LZR,South African mullet
LZU,
LZS,Leaping mullet
KZW,Largescaled mullet
LZD,Grooved mullet
LZV,Squaretail mullet
LZK,Klunzinger's mullet
KZY,Sicklefin mullet
LZH,Abu mullet
IDY,Diamond mullet
MPK,Persian mullet
SOY,So-iny (redlip) mullet
LZZ,
MGK,Longfin mullet
RIC,Corsula
MCQ,Snouted mullet
MXE,Sand grey mullet
NML,Acute-jawed mullet
ODL,Boxlip mullet
ODZ,Hornlip mullet
VMC,Longarm mullet
VMH,Bluespot mullet
VMP,Speigler's mullet
VMX,
MSJ,
XET,Thoburn's mullet
IEH,Broad-mouthed mullet
MUL,Mullets nei
FLT,Asian swamp eel
OFA,Obscure swamp eel
SXR,Marbled swamp eel
AVF,
CAV,
MRE,Lesser spiny eel
MDY,
MWY,Fire eel
JCB,
AEX,
CDW,Burmese spineless eel
CED,
NGF,
BIU,
PKJ,
DTB,Mottled fusilier
GMY,Slender fusilier
TEC,Goldband fusilier
TED,Double-lined fusilier
TEI,Banana fusilier
TET,One-stripe fusilier
UDH,Capricorn fusilier
UDK,Dark-banded fusilier
TZX,
CJC,Blue and gold fusilier
CJU,Redbelly yellowtail fusilier
CJV,Variable-lined fusilier
CJZ,Lunar fusilier
FJR,Suez fusilier
IFK,Yellow and blueback fusilier
IHA,Yellowback fusilier
FUS,Fusiliers Caesio nei
CJX,Fusiliers nei
EPJ,Union snook
EPU,Armed snook
EPN,Swordspine snook
EPD,Blackfin snook
EPG,Black snook
EPP,Fat snook
EPS,Tarpon snook
EPL,Yellowfin snook
SNO,Common snook
JPV,White snook
JPM,Largescale fat snook
ROB,Snooks(=Robalos) nei
GIP,Barramundi(=Giant seaperch)
LTG,Tanganyika lates
LTO,Albert lates
LSM,Bigeye lates
LSL,Forktail lates
NIP,Nile perch
IRQ,Sleek lates
PEX,Freshwater perches nei
HYK,
PWG,Waigieu seaperch
EHG,Redmouth grouper
AYG,Slender grouper
OSB,
UFT,Goldribbon soapfish
BMX,Yellowtail bass
BPH,Arrowhead soapfish
IPL,Butterfly perch
ITH,
RNL,Pink maomao
HDD,
RTZ,Graery threadfin seabass
DLB,Barred soapfish
EKJ,
EFU,
MAB,Black grouper
MTI,Comb grouper
MKJ,Gulf grouper
MKM,Gag
MKC,Venezuelan grouper
MKH,Scamp
MKU,Mottled grouper
MKT,Tiger grouper
MKV,Yellowfin grouper
GBS,Broomtail grouper
MKF,Island grouper
MKN,Yellowmouth grouper
MKR,Leopard grouper
GPB,Brazilian groupers nei
GPD,Dusky grouper
GPW,White grouper
EIU,Wavy-lined grouper
EPA,Hong Kong grouper
ELD,Spinycheek grouper
EEN,Giant grouper
EEC,Highfin grouper
EER,Honeycomb grouper
EIF,Convict grouper
EFX,Sixbar grouper
EPZ,Epaulet grouper
EPT,Greasy grouper
GPN,Nassau grouper
EFD,Rock hind
GPS,Spotted grouper
EED,Speckled hind
EEL,Yellowedge grouper
EEU,Red hind
EEB,Starry grouper
GPR,Red grouper
EEY,Misty grouper
EFV,Snowy grouper
EEQ,Hawaiian grouper
EFJ,Dogtooth grouper
EEA,Blacktip grouper
EEG,Dungat grouper
EEP,Comet grouper
ELG,Warsaw grouper
EFB,White-edged grouper
EFN,Catface grouper
EPR,Areolate grouper
EET,Jewfish
MAR,Malabar grouper
EPV,Halfmoon grouper
EEV,Blue-and-yellow grouper
EFC,Rooster hind
EFY,Banded grouper
EFW,Yellow grouper
EFK,Duskytail grouper
EFE,Longtooth grouper
EFH,Brownspotted grouper
EPF,Olive grouper
ENI,Orange-spotted grouper
EPK,Goldblotch grouper
EPY,Speckled blue grouper
ESE,Saddletail grouper
EEF,Rock grouper
EEI,Haifa grouper
EEE,Bridled grouper
EEX,Starspotted grouper
EES,Striped grouper
EEM,Snubnose grouper
EEJ,Speckled grouper
EEK,Camouflage grouper
EFQ,Longfin grouper
EIT,Black-dotted grouper
EIR,Threespot grouper
EWC,Whitespotted grouper
EWF,Brown-marbled grouper
EWI,Marquesan grouper
EWM,Netfin grouper
EWU,White-blotched grouper
EWO,Eightbar grouper
EWP,Dot-dash grouper
EWR,Red-tipped grouper
EWT,Reticulate grouper
EWL,Potato grouper
EWE,Dotted grouper
EWY,Smallscaled grouper
EWS,Summan grouper
EZR,Oblique-banded grouper
EWG,Striped-fin grouper
EWV,Barred-chest grouper
EWW,Longspine grouper
EZO,Foursaddle grouper
EZP,One-blotch grouper
EWZ,Moustache grouper
GPX,Groupers nei
CBR,Comber
SRK,Painted comber
SRJ,Brown comber
RNB,Blackear bass
RNF,
ERB,Belted sandfish
WSA,Blacktail comber
WLJ,Ghanian comber
WLK,
BAS,Combers nei
GGJ,
GSE,Goldenstriped soapfish
GMA,Ocellate soapfish
HNE,Streamer bass
HHN,Redbanded perch
JBG,
LDP,Orange perch
LFU,African basslet
LMK,Wrasse bass
LZE,
MIF,
AHN,Swallowtail seaperch
BSB,Black seabass
FHC,Rock sea bass
LSF,Mutton hamlet
LST,Rivulated mutton hamlet
OTE,
CFL,Graysby
CFJ,Coney
CFF,Peacock hind
EFT,Tomato hind
EFA,Bluespotted seabass
CFQ,Niger hind
CFY,Bluespotted hind
CFH,Yellowfin hind
CFM,Freckled hind
CFI,Coral hind
CFX,Sixblotch hind
CFZ,Golden hind
CWI,Garish hind
CWR,Strawberry hind
CWU,Darkfin hind
CVK,Chocolate hind
UKR,Leopard hind
IIX,
MPV,Humpback grouper
ODF,
HNB,Checked swallowtail
DED,Leather bass
DEV,Smooth grouper
PES,Sand perch
DLM,Mexican sand perch
DLX,Torpedo sand perch
DLA,Inshore sand perch
DLD,Pond perch
DLK,Highfin sand perch
DUI,
LNG,
GOH,Spanish flag
TIF,Creole-fish
PLM,Spotted coralgrouper
